order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
77,,2024-05-23,124,1,70.85,70.85,Completed,2024-06-02
78,,2025-10-04,414,1,176.92,176.92,Completed,2025-10-14
79,,2024-09-02,146,4,116.39,465.56,Completed,2024-09-05
80,,2023-08-04,410,2,26.06,52.12,Pending,
81,,2024-01-16,252,5,160.99,804.95,Cancelled,
82,,2025-03-20,464,4,26.41,105.64,Completed,2025-03-31
83,,2025-11-11,178,3,169.29,507.87,Completed,2025-11-17
84,,2025-06-05,182,3,98.14,294.42,Pending,
85,,2025-12-05,85,2,111.94,223.88,Pending,
86,,2025-12-07,469,5,125.92,629.60,Completed,2025-12-16
87,,2024-10-09,467,5,90.29,451.45,Completed,2024-10-18
88,,2024-09-27,270,2,176.91,353.82,Cancelled,
89,,2025-12-26,355,3,148.13,444.39,Pending,
90,,2024-05-11,23,1,73.16,73.16,Cancelled,
91,,2025-07-31,285,1,55.91,55.91,Pending,
92,,2023-02-04,470,2,142.75,285.50,Completed,2023-02-12
93,,2023-09-17,151,4,158.46,633.84,Cancelled,
94,,2024-11-23,219,2,155.40,310.80,Pending,
95,,2025-02-14,379,1,80.69,80.69,Pending,
96,,2025-09-16,468,4,184.84,739.36,Pending,
97,,2023-06-13,225,1,134.26,134.26,Pending,
98,,2024-03-30,117,3,114.69,344.07,Cancelled,
99,,2024-05-12,246,3,140.35,421.05,Pending,
100,,2025-07-16,440,4,12.97,51.88,Pending,
101,5422,2024-11-26,,5,117.80,589.00,Cancelled,
102,7703,2023-05-05,,2,152.48,304.96,Pending,
103,2079,2024-12-06,,4,8.42,33.68,Completed,2024-12-17
104,2680,2024-06-05,,1,50.93,50.93,Completed,2024-06-10
105,5539,2025-04-20,,5,198.79,993.95,Cancelled,
106,3658,2025-07-10,,4,13.67,54.68,Completed,2025-07-11
107,1709,2025-09-03,,5,177.10,885.50,Pending,
108,9570,2024-08-07,,4,151.80,607.20,Pending,
109,6411,2024-12-04,,4,4.32,17.28,Completed,2024-12-08
110,8442,2024-06-25,,4,164.66,658.64,Cancelled,
111,3401,2024-01-01,,5,24.11,120.55,Cancelled,
112,4649,2024-11-07,,3,176.19,528.57,Completed,2024-11-21
113,7177,2023-01-22,,4,53.97,215.88,Pending,
114,4294,2024-10-02,,5,195.25,976.25,Cancelled,
115,4577,2023-11-23,,4,90.97,363.88,Pending,
116,6765,2024-10-23,,2,20.38,40.76,Pending,
117,779,2024-05-16,,5,168.65,843.25,Pending,
118,1928,2025-10-30,,4,30.85,123.40,Completed,2025-11-01
119,8923,2024-05-22,,3,140.03,420.09,Cancelled,
120,879,2023-06-05,,1,178.22,178.22,Cancelled,
121,1922,2024-03-23,,2,150.76,301.52,Completed,2024-04-05
122,3245,2025-04-06,,4,7.93,31.72,Pending,
123,7376,2023-12-06,,5,151.99,759.95,Pending,
124,6247,2025-06-02,,5,121.61,608.05,Completed,2025-06-13
125,9531,2024-08-28,,3,163.08,489.24,Completed,2024-09-06
126,5629,2025-01-29,,3,9.32,27.96,Completed,2025-02-03
127,3938,2025-03-03,,2,185.53,371.06,Cancelled,
128,1365,2023-08-23,,3,169.40,508.20,Completed,2023-09-06
129,4695,2023-06-02,,5,74.48,372.40,Cancelled,
130,2634,2024-10-02,,2,121.24,242.48,Pending,
131,1016,2025-07-17,,5,165.04,825.20,Pending,
132,1223,2024-10-03,,1,22.98,22.98,Cancelled,
133,3036,2024-09-05,,3,162.03,486.09,Completed,2024-09-16
134,4853,2023-11-02,,1,68.01,68.01,Pending,
135,2226,2025-02-28,,5,86.87,434.35,Completed,2025-03-03
136,427,2023-10-17,,3,19.57,58.71,Pending,
137,5943,2024-05-10,,2,31.00,62.00,Pending,
138,4667,2024-08-08,,1,57.64,57.64,Cancelled,
139,7157,2024-08-16,,1,189.70,189.70,Completed,2024-08-17
140,2890,2023-07-01,,5,13.70,68.50,Completed,2023-07-12
141,2705,2025-09-06,,5,104.86,524.30,Cancelled,
142,1007,2023-02-25,,3,157.77,473.31,Cancelled,
143,4149,2023-10-07,,2,51.41,102.82,Completed,2023-10-11
144,6668,2023-06-26,,5,195.75,978.75,Pending,
145,1871,2024-09-11,,2,86.84,173.68,Cancelled,
146,6017,2023-05-21,,2,71.23,142.46,Cancelled,
147,7090,2023-12-27,,4,141.08,564.32,Cancelled,
148,1434,2025-10-07,,2,96.14,192.28,Pending,
149,1914,2023-02-23,,2,29.28,58.56,Cancelled,
150,3345,2023-06-21,,2,13.92,27.84,Pending,
151,9706,2024-09-17,,5,12.26,61.30,Pending,
152,8618,2023-04-14,,5,179.59,897.95,Cancelled,
153,1156,2025-02-16,,4,99.96,399.84,Completed,2025-02-18
154,3090,2023-08-09,,5,194.36,971.80,Pending,
155,2530,2024-03-20,,2,106.16,212.32,Completed,2024-03-28
156,3395,2025-06-24,,2,77.51,155.02,Completed,2025-07-08
157,6538,2023-04-21,,3,23.67,71.01,Completed,2023-04-22
158,191,2024-03-21,,5,185.54,927.70,Pending,
159,1892,2025-11-02,,4,96.21,384.84,Pending,
160,500,2024-05-04,,2,53.06,106.12,Pending,
161,4085,2024-06-23,,5,121.54,607.70,Completed,2024-06-23
162,8084,2024-06-08,,5,156.56,782.80,Completed,2024-06-13
163,956,2025-10-12,,4,114.62,458.48,Cancelled,
164,5873,2025-07-29,,2,75.08,150.16,Pending,
165,6188,2024-03-03,,1,130.22,130.22,Pending,
166,3214,2025-10-15,,5,26.17,130.85,Pending,
167,904,2025-06-19,,1,62.59,62.59,Cancelled,
168,6217,2024-02-26,,1,140.10,140.10,Completed,2024-03-10
169,7569,2023-01-28,,3,195.57,586.71,Cancelled,
170,6602,2025-03-23,,4,199.11,796.44,Pending,
171,2249,2024-05-22,,2,152.13,304.26,Pending,
172,8085,2024-10-13,,5,3.91,19.55,Pending,
173,8123,2023-05-15,,3,16.91,50.73,Cancelled,
174,3248,2024-01-09,,2,98.72,197.44,Pending,
175,507,2025-04-11,,3,176.15,528.45,Completed,2025-04-15
176,4680,2025-12-13,,5,64.14,320.70,Cancelled,
177,2809,2025-08-16,,3,197.53,592.59,Cancelled,
178,9472,2024-01-17,,2,172.90,345.80,Completed,2024-01-31
179,8881,2023-10-17,,3,181.35,544.05,Completed,2023-10-28
180,4500,2024-10-09,,1,70.32,70.32,Cancelled,
181,1879,2025-05-11,,1,71.37,71.37,Completed,2025-05-19
182,2710,2024-04-26,,4,163.40,653.60,Cancelled,
183,3384,2025-09-28,,2,130.88,261.76,Cancelled,
184,3160,2024-05-07,,5,6.56,32.80,Pending,
185,3862,2024-06-06,,4,120.30,481.20,Cancelled,
186,6777,2024-07-14,,5,142.14,710.70,Cancelled,
187,4360,2025-03-15,,2,161.92,323.84,Pending,
188,638,2024-04-11,,1,150.87,150.87,Completed,2024-04-16
189,2769,2025-06-24,,4,131.95,527.80,Pending,
190,4268,2025-11-17,,3,2.59,7.77,Cancelled,
191,1823,2024-07-05,,3,27.04,81.12,Completed,2024-07-12
192,2926,2023-08-19,,3,71.18,213.54,Cancelled,
193,1127,2025-04-28,,5,125.91,629.55,Pending,
194,5034,2023-03-05,,2,123.89,247.78,Pending,
195,8466,2023-12-07,,4,8.25,33.00,Completed,2023-12-12
196,5573,2024-07-06,,4,115.89,463.56,Completed,2024-07-08
197,6530,2024-05-20,,4,166.98,667.92,Completed,2024-06-03
198,3798,2025-07-14,,1,88.46,88.46,Pending,
199,4758,2024-07-12,,3,93.01,279.03,Completed,2024-07-25
200,9289,2025-04-20,,4,10.39,41.56,Pending,
201,119,2023-06-26,,1,197.92,197.92,Completed,2023-07-06
202,2261,2025-10-13,,2,73.26,146.52,Cancelled,
203,9624,2024-06-30,,2,33.43,66.86,Cancelled,
204,7297,2024-03-01,,4,174.79,699.16,Pending,
205,6029,2023-04-24,,5,107.44,537.20,Cancelled,
206,7394,2024-02-01,,3,10.62,31.86,Cancelled,
207,9403,2025-04-12,,3,11.86,35.58,Cancelled,
208,1146,2025-04-23,,3,7.31,21.93,Pending,
209,8651,2024-05-30,,5,90.13,450.65,Pending,
210,7769,2025-08-07,,1,6.11,6.11,Cancelled,
211,2835,2025-09-24,,5,109.37,546.85,Cancelled,
212,9449,2023-09-12,,3,60.38,181.14,Cancelled,
213,4185,2025-03-03,,4,189.76,759.04,Completed,2025-03-07
214,2270,2023-06-23,,4,116.90,467.60,Completed,2023-06-25
215,7782,2023-12-12,,5,3.54,17.70,Pending,
216,6803,2023-05-17,,4,68.07,272.28,Completed,2023-05-21
217,7558,2024-08-05,,3,192.71,578.13,Pending,
218,5134,2023-08-29,,4,70.74,282.96,Cancelled,
219,2665,2024-07-24,,5,199.58,997.90,Completed,2024-08-04
220,1498,2023-04-05,,1,30.65,30.65,Completed,2023-04-05
221,7626,2023-07-31,,2,94.01,188.02,Cancelled,
222,5541,2025-04-09,,1,79.44,79.44,Pending,
223,4439,2024-09-09,,5,93.35,466.75,Pending,
224,4731,2024-05-17,,3,115.88,347.64,Pending,
225,8883,2024-03-12,,4,56.37,225.48,Cancelled,
226,7737,2025-01-05,,4,162.19,648.76,Cancelled,
227,2048,2024-03-02,,1,46.39,46.39,Completed,2024-03-16
228,5342,2024-07-14,,4,155.78,623.12,Pending,
229,1362,2025-11-26,,5,43.56,217.80,Cancelled,
230,1066,2025-12-10,,4,13.29,53.16,Cancelled,
231,8554,2024-07-22,,1,1.66,1.66,Completed,2024-08-02
232,9457,2023-08-26,,4,40.07,160.28,Pending,
233,6581,2024-06-05,,4,27.77,111.08,Pending,
234,8277,2023-05-04,,5,150.90,754.50,Completed,2023-05-16
235,4977,2024-09-10,,4,70.75,283.00,Cancelled,
236,8463,2024-11-20,,2,80.02,160.04,Completed,2024-12-01
237,7917,2024-08-21,,5,163.39,816.95,Completed,2024-08-21
238,931,2023-09-05,,2,112.61,225.22,Pending,
239,5483,2023-07-14,,2,29.35,58.70,Cancelled,
240,9097,2023-03-05,,5,54.55,272.75,Pending,
241,7920,2023-05-04,,5,135.05,675.25,Cancelled,
242,6755,2023-02-09,,2,178.32,356.64,Completed,2023-02-14
243,3336,2024-03-16,,5,119.29,596.45,Completed,2024-03-17
244,6721,2025-04-04,,5,44.77,223.85,Pending,
245,20,2023-01-29,,2,155.79,311.58,Pending,
246,9733,2023-02-13,,4,16.28,65.12,Pending,
247,8528,2023-05-05,,5,168.81,844.05,Cancelled,
248,7127,2024-04-05,,2,12.98,25.96,Completed,2024-04-17
249,581,2025-11-20,,2,90.44,180.88,Cancelled,
250,9735,2025-06-10,,4,100.76,403.04,Cancelled,
251,6713,2023-12-27,,5,135.29,676.45,Completed,2023-12-27
252,7784,2024-08-09,,3,112.51,337.53,Completed,2024-08-14
253,7241,2025-05-24,,4,130.48,521.92,Completed,2025-06-03
254,4530,2025-11-10,,2,165.54,331.08,Pending,
255,9606,2025-10-17,,4,190.20,760.80,Completed,2025-10-17
256,667,2024-09-21,,3,44.37,133.11,Pending,
257,3051,2024-01-03,,4,74.97,299.88,Pending,
258,2054,2025-03-07,,3,114.15,342.45,Pending,
259,6088,2025-06-26,,2,80.14,160.28,Pending,
260,546,2024-06-12,,1,125.87,125.87,Pending,
261,1423,2025-11-20,,3,49.05,147.15,Cancelled,
262,4458,2025-03-29,,4,121.61,486.44,Pending,
263,5619,2024-02-14,,4,189.33,757.32,Cancelled,
264,1019,2025-01-03,,2,131.88,263.76,Cancelled,
265,6693,2024-03-03,,2,45.56,91.12,Completed,2024-03-09
266,3783,2024-06-12,,2,49.97,99.94,Cancelled,
267,6563,2025-11-30,,2,153.48,306.96,Pending,
268,3595,2023-12-28,,2,111.43,222.86,Cancelled,
269,1677,2024-04-22,,2,155.51,311.02,Cancelled,
270,877,2024-10-01,,2,69.03,138.06,Completed,2024-10-15
271,563,2025-07-01,,1,88.52,88.52,Pending,
272,3827,2024-02-07,,1,177.09,177.09,Cancelled,
273,8744,2025-01-21,,4,28.03,112.12,Pending,
274,7982,2023-01-26,,3,153.28,459.84,Pending,
275,1661,2025-12-08,,3,38.24,114.72,Completed,2025-12-14
276,9367,2025-02-28,,5,6.42,32.10,Cancelled,
277,6332,2025-01-26,,3,101.65,304.95,Completed,2025-02-06
278,2366,2025-01-22,,4,177.74,710.96,Pending,
279,2583,2024-08-15,,1,106.90,106.90,Pending,
280,2389,2025-07-11,,2,198.43,396.86,Completed,2025-07-19
281,8678,2024-02-23,,3,44.51,133.53,Cancelled,
282,3502,2023-03-19,,2,198.66,397.32,Completed,2023-03-28
283,9954,2025-11-26,,2,70.21,140.42,Pending,
284,6105,2024-05-02,,2,31.99,63.98,Cancelled,
285,6135,2025-05-11,,3,119.88,359.64,Pending,
286,495,2024-11-10,,1,130.80,130.80,Completed,2024-11-16
287,8591,2023-03-17,,4,150.99,603.96,Pending,
288,8103,2025-08-22,,1,98.59,98.59,Cancelled,
289,8720,2024-05-20,,2,184.34,368.68,Cancelled,
290,1464,2023-01-02,,2,173.92,347.84,Completed,2023-01-04
291,5091,2025-08-19,,4,56.34,225.36,Pending,
292,5334,2025-03-31,,2,145.75,291.50,Completed,2025-04-03
293,9390,2025-04-29,,2,196.48,392.96,Cancelled,
294,5524,2024-08-14,,1,66.88,66.88,Cancelled,
295,5705,2024-08-08,,4,119.71,478.84,Completed,2024-08-20
296,6035,2023-06-02,,4,20.07,80.28,Cancelled,
297,3564,2023-04-20,,2,30.83,61.66,Pending,
298,2405,2025-08-15,,2,125.57,251.14,Cancelled,
299,3634,2023-12-10,,3,128.96,386.88,Cancelled,
300,7562,2024-01-16,,2,68.01,136.02,Completed,2024-01-30
301,2000001,2024-07-02,232,5,71.06,355.30,Cancelled,
302,2000002,2025-03-12,342,1,32.46,32.46,Cancelled,
303,2000003,2023-01-22,309,3,180.80,542.40,Cancelled,
304,2000004,2023-02-16,369,4,69.11,276.44,Cancelled,
305,2000005,2024-09-15,159,4,183.72,734.88,Cancelled,
306,2000006,2025-08-18,341,5,118.11,590.55,Cancelled,
307,2000007,2025-09-18,47,4,20.09,80.36,Cancelled,
308,2000008,2024-02-10,307,4,32.69,130.76,Completed,2024-02-14
309,2000009,2023-08-09,327,1,94.57,94.57,Completed,2023-08-21
310,2000010,2024-05-20,418,3,138.12,414.36,Completed,2024-05-29
311,2000011,2025-10-08,131,2,77.61,155.22,Cancelled,
312,2000012,2023-04-27,452,3,43.85,131.55,Cancelled,
313,2000013,2024-11-10,338,4,144.11,576.44,Completed,2024-11-24
314,2000014,2024-01-27,284,4,178.70,714.80,Completed,2024-02-07
315,2000015,2023-07-05,227,5,174.23,871.15,Cancelled,
316,2000016,2024-07-14,228,2,87.51,175.02,Completed,2024-07-14
317,2000017,2025-04-05,420,5,105.50,527.50,Cancelled,
318,2000018,2025-03-20,21,2,106.96,213.92,Pending,
319,2000019,2025-11-13,24,5,194.88,974.40,Cancelled,
320,2000020,2023-12-05,202,3,73.84,221.52,Completed,2023-12-17
321,2000021,2024-05-29,184,5,133.93,669.65,Cancelled,
322,2000022,2024-01-18,58,1,117.54,117.54,Completed,2024-01-18
323,2000023,2025-07-14,259,1,2.67,2.67,Cancelled,
324,2000024,2024-11-07,108,3,138.49,415.47,Cancelled,
325,2000025,2023-01-02,219,3,193.48,580.44,Pending,
326,2000026,2024-06-15,207,4,91.50,366.00,Completed,2024-06-21
327,2000027,2023-06-17,63,4,27.56,110.24,Pending,
328,2000028,2024-11-23,416,1,78.90,78.90,Cancelled,
329,2000029,2024-10-03,358,3,181.63,544.89,Completed,2024-10-14
330,2000030,2023-05-24,365,5,15.55,77.75,Pending,
331,2000031,2024-10-04,63,5,198.32,991.60,Pending,
332,2000032,2023-09-26,191,5,137.30,686.50,Cancelled,
333,2000033,2023-07-25,1,2,169.95,339.90,Completed,2023-07-30
334,2000034,2023-02-23,393,2,193.06,386.12,Completed,2023-03-07
335,2000035,2025-11-28,99,1,35.71,35.71,Pending,
336,2000036,2024-08-25,439,3,153.59,460.77,Pending,
337,2000037,2025-02-06,467,5,18.95,94.75,Completed,2025-02-17
338,2000038,2024-08-27,307,5,187.18,935.90,Cancelled,
339,2000039,2025-04-01,468,3,12.85,38.55,Completed,2025-04-06
340,2000040,2023-07-14,295,5,73.94,369.70,Cancelled,
341,2000041,2023-06-16,225,5,142.91,714.55,Cancelled,
342,2000042,2023-01-16,248,5,4.75,23.75,Cancelled,
343,2000043,2024-02-22,306,2,184.00,368.00,Cancelled,
344,2000044,2025-10-01,9,1,197.66,197.66,Completed,2025-10-02
345,2000045,2024-03-26,493,2,47.03,94.06,Pending,
346,2000046,2024-12-23,144,2,45.16,90.32,Pending,
347,2000047,2023-04-17,22,2,157.63,315.26,Cancelled,
348,2000048,2025-01-13,254,5,183.08,915.40,Completed,2025-01-19
349,2000049,2025-07-08,367,3,178.24,534.72,Pending,
350,2000050,2023-05-20,55,2,136.82,273.64,Cancelled,
351,543,2024-04-15,3000001,1,128.24,128.24,Cancelled,
352,6077,2023-05-31,3000002,4,105.20,420.80,Completed,2023-06-10
353,1534,2023-08-14,3000003,1,182.65,182.65,Completed,2023-08-14
354,1045,2023-06-17,3000004,1,44.17,44.17,Cancelled,
355,3774,2024-03-29,3000005,2,20.42,40.84,Pending,
356,5857,2025-11-06,3000006,4,191.31,765.24,Cancelled,
357,2228,2025-05-28,3000007,2,73.47,146.94,Pending,
358,4667,2024-11-29,3000008,5,142.05,710.25,Cancelled,
359,8278,2023-08-04,3000009,1,191.93,191.93,Cancelled,
360,1771,2025-04-08,3000010,5,16.86,84.30,Completed,2025-04-13
361,511,2023-12-01,3000011,1,22.33,22.33,Pending,
362,808,2024-03-20,3000012,4,2.92,11.68,Cancelled,
363,6640,2024-07-15,3000013,1,183.45,183.45,Pending,
364,4185,2025-04-13,3000014,1,178.31,178.31,Cancelled,
365,8190,2023-07-29,3000015,3,13.49,40.47,Cancelled,
366,3874,2025-05-20,3000016,5,107.71,538.55,Completed,2025-05-24
367,9279,2024-12-22,3000017,1,133.36,133.36,Pending,
368,5452,2025-10-24,3000018,1,136.64,136.64,Pending,
369,7489,2024-11-28,3000019,4,142.62,570.48,Cancelled,
370,3617,2024-12-14,3000020,5,14.31,71.55,Completed,2024-12-18
371,2326,2024-07-15,3000021,1,100.95,100.95,Pending,
372,269,2025-01-05,3000022,4,146.18,584.72,Completed,2025-01-07
373,5186,2024-01-26,3000023,5,95.25,476.25,Completed,2024-02-01
374,6404,2023-06-25,3000024,5,114.17,570.85,Pending,
375,1574,2024-08-08,3000025,4,46.54,186.16,Cancelled,
376,6573,2025-08-19,3000026,3,123.98,371.94,Cancelled,
377,9548,2023-01-30,3000027,2,127.94,255.88,Pending,
378,7313,2025-03-05,3000028,1,40.63,40.63,Completed,2025-03-11
379,2252,2025-03-28,3000029,4,3.58,14.32,Pending,
380,9783,2023-09-19,3000030,3,132.07,396.21,Cancelled,
381,6773,2023-04-05,248,1,130.70,130.70,Completed,2023-04-11
381,2584,2025-10-16,430,4,97.78,391.12,Pending,
383,1036,2025-01-15,460,4,44.29,177.16,Pending,
383,2422,2023-10-31,166,3,59.75,179.25,Pending,
385,2486,2025-03-10,175,1,1.22,1.22,Cancelled,
385,8566,2024-09-24,429,5,128.95,644.75,Pending,
387,2951,2025-01-11,56,1,112.24,112.24,Pending,
387,5903,2024-04-11,465,3,66.27,198.81,Pending,
389,1956,2024-07-11,264,3,136.56,409.68,Pending,
389,3773,2023-11-02,148,2,49.96,99.92,Pending,
391,2030,2023-06-24,4,2,190.61,381.22,Completed,2023-07-08
391,4235,2024-04-08,456,1,91.82,91.82,Cancelled,
393,1236,2023-03-05,144,5,160.08,800.40,Cancelled,
393,4351,2024-02-08,356,4,158.84,635.36,Cancelled,
395,8918,2024-09-14,78,1,49.68,49.68,Pending,
395,1886,2025-12-23,219,2,75.73,151.46,Pending,
397,8068,2025-11-24,319,1,165.57,165.57,Pending,
397,259,2023-03-29,492,5,126.45,632.25,Pending,
399,5097,2025-04-16,84,3,152.76,458.28,Cancelled,
399,7136,2024-03-20,416,3,119.49,358.47,Cancelled,
401,7405,2024-08-01,498,3,42.77,128.31,Completed,2024-08-04
402,4929,2025-12-06,258,5,48.08,240.40,Pending,
403,8099,2023-11-02,422,3,102.84,308.52,Completed,2023-11-13
404,3048,2024-10-21,66,2,108.13,216.26,Pending,
405,7639,2025-12-14,497,5,62.13,310.65,Cancelled,
406,5431,2024-05-26,24,3,111.23,333.69,Completed,2024-05-29
407,9083,2025-12-15,377,2,168.37,336.74,Completed,2025-12-17
408,122,2025-06-22,135,4,155.93,623.72,Completed,2025-06-28
409,6213,2023-04-01,363,5,43.10,215.50,Cancelled,
410,8118,2024-10-19,154,5,147.38,736.90,Pending,
411,2125,2025-08-25,29,3,69.02,207.06,Pending,
412,3530,2025-03-09,367,5,118.93,594.65,Cancelled,
413,1689,2023-10-07,191,4,43.07,172.28,Pending,
414,570,2024-08-28,247,1,85.18,85.18,Completed,2024-08-31
415,68,2023-09-07,326,1,128.03,128.03,Pending,
416,4694,2023-10-19,183,5,196.78,983.90,Completed,2023-11-02
417,5017,2025-08-02,181,3,89.87,269.61,Pending,
418,1138,2025-09-07,305,1,41.13,41.13,Cancelled,
419,5943,2024-04-10,117,2,91.64,183.28,Cancelled,
420,7393,2025-06-04,85,5,154.15,770.75,Pending,
421,418,2023-04-04,385,2,100.13,200.26,Pending,
422,4946,2025-10-13,308,3,178.84,536.52,Cancelled,
423,9042,2025-04-26,368,1,174.89,174.89,Cancelled,
424,1518,2025-09-02,429,5,133.20,666.00,Pending,
425,2149,2025-01-20,60,5,194.58,972.90,Pending,
426,9951,2024-03-21,131,4,144.23,576.92,Pending,
427,2096,2024-08-13,252,5,15.75,78.75,Pending,
428,1931,2023-12-09,83,2,76.07,152.14,Cancelled,
429,4332,2023-03-25,286,4,5.51,22.04,Completed,2023-04-01
430,3393,2023-08-29,352,3,173.15,519.45,Pending,
431,6499,2025-08-06,285,3,151.67,455.01,Completed,2025-08-17
432,8138,2023-01-14,131,4,6.89,27.56,Pending,
433,6313,2024-12-24,211,4,5.10,20.40,Pending,
434,7367,2023-10-13,194,2,181.10,362.20,Pending,
435,2971,2023-09-18,404,1,191.39,191.39,Pending,
436,8254,2023-12-04,213,4,183.05,732.20,Completed,2023-12-16
437,7220,2025-05-23,69,3,71.61,214.83,Cancelled,
438,3242,2023-01-23,436,3,119.01,357.03,Cancelled,
439,7065,2023-12-07,292,1,132.82,132.82,Completed,2023-12-17
440,6511,2024-07-13,17,5,116.44,582.20,Pending,
441,2983,2024-05-31,104,3,68.36,205.08,Completed,2024-06-08
442,4546,2023-07-07,297,1,171.67,171.67,Cancelled,
443,7100,2023-07-20,180,2,86.65,173.30,Pending,
444,482,2025-03-07,447,2,154.25,308.50,Cancelled,
445,1453,2023-02-08,243,3,184.20,552.60,Cancelled,
446,3700,2025-02-09,405,3,174.35,523.05,Pending,
447,6736,2024-11-23,373,5,115.56,577.80,Completed,2024-12-04
448,9057,2025-02-01,413,5,85.54,427.70,Pending,
449,4048,2024-02-09,256,1,69.34,69.34,Completed,2024-02-12
450,6459,2025-10-13,173,2,161.19,322.38,Completed,2025-10-20
451,7012,2025-10-05,267,4,160.94,643.76,Completed,2025-10-14
