product_id,product_name,category,price,cost,stock_quantity,reorder_level
59,Product 0059,Electronics,183.54,151.60,447,9
60,Product 0060,Sports,291.41,264.78,50,6
61,Product 0061,Apparel,428.38,354.28,496,11
62,Product 0062,Electronics,494.85,154.92,208,62
63,Product 0063,Home,316.46,70.05,462,7
64,Product 0064,Apparel,108.89,62.10,199,33
65,Product 0065,Home,299.19,93.48,356,93
66,Product 0066,Electronics,365.22,318.95,97,37
67,Product 0067,Sports,143.67,9.59,376,69
68,Product 0068,Grocery,40.94,30.64,29,6
69,Product 0069,Sports,383.84,312.47,470,67
70,Product 0070,Sports,104.17,9.32,41,23
71,Product 0071,Electronics,45.90,5.57,206,15
72,Product 0072,Sports,374.34,161.36,304,5
73,Product 0073,Home,406.91,53.73,336,74
74,Product 0074,Grocery,371.42,342.62,478,33
75,Product 0075,Grocery,134.86,109.73,122,33
76,Product 0076,Grocery,260.38,42.89,234,40
77,Product 0077,Apparel,493.74,47.55,234,79
78,Product 0078,Apparel,369.96,65.53,275,27
79,Product 0079,Electronics,332.53,173.81,477,44
80,Product 0080,Grocery,46.08,20.02,145,20
81,Product 0081,Sports,288.16,273.21,360,38
82,Product 0082,Apparel,401.86,346.65,341,70
83,Product 0083,Electronics,197.20,33.95,135,14
84,Product 0084,Sports,71.14,60.82,79,34
85,Product 0085,Grocery,185.65,69.02,104,87
86,Product 0086,Sports,416.65,173.01,250,32
87,Product 0087,Home,34.29,3.79,424,35
88,Product 0088,Grocery,29.89,0.15,394,16
89,Product 0089,Electronics,418.53,171.68,379,56
90,Product 0090,Sports,362.54,280.29,4,14
91,Product 0091,Sports,50.31,12.22,18,47
92,Product 0092,Electronics,382.75,362.11,220,16
93,Product 0093,Grocery,28.41,12.63,460,5
94,Product 0094,Electronics,235.49,68.84,341,13
95,Product 0095,Home,232.78,183.47,498,79
96,Product 0096,Electronics,492.17,101.29,442,20
97,Product 0097,Apparel,117.03,67.56,91,94
98,Product 0098,Electronics,218.70,134.92,136,20
99,Product 0099,Home,460.58,70.85,446,4
100,Product 0100,Electronics,309.47,72.89,418,58
101,Product 0101,Electronics,230.15,100.01,114,3
102,Product 0102,Home,433.55,126.57,168,35
103,Product 0103,Grocery,46.49,22.87,328,65
104,Product 0104,Sports,262.93,222.67,169,3
105,Product 0105,Grocery,76.59,71.85,91,74
106,Product 0106,Apparel,174.97,12.54,305,55
107,Product 0107,Home,227.54,102.79,310,65
108,Product 0108,Sports,76.78,31.56,97,32
109,Product 0109,Home,30.08,29.04,0,66
110,Product 0110,Grocery,353.87,129.13,220,8
111,Product 0111,Sports,436.31,216.40,160,84
112,Product 0112,Sports,82.67,49.21,158,85
113,Product 0113,Home,268.64,106.89,356,37
114,Product 0114,Electronics,364.33,83.42,215,85
115,Product 0115,Electronics,249.47,221.95,315,72
116,Product 0116,Sports,198.23,133.07,426,0
117,Product 0117,Electronics,200.14,94.02,220,100
118,Product 0118,Home,381.09,211.19,226,56
119,Product 0119,Sports,443.77,140.06,242,94
120,Product 0120,Apparel,112.20,107.95,145,65
121,Product 0121,Sports,436.06,414.81,171,11
122,Product 0122,Grocery,493.26,153.93,115,25
123,Product 0123,Apparel,97.56,4.01,125,60
124,Product 0124,Home,401.60,47.73,212,80
125,Product 0125,Home,378.27,127.43,253,51
126,Product 0126,Apparel,160.89,24.18,457,96
127,Product 0127,Home,70.85,63.77,112,22
128,Product 0128,Home,457.07,339.45,25,71
129,Product 0129,Home,164.31,39.77,68,59
130,Product 0130,Sports,438.50,348.09,304,40
131,Product 0131,Sports,495.96,290.05,417,92
132,Product 0132,Sports,331.81,279.67,228,20
133,Product 0133,Home,488.36,311.09,132,96
134,Product 0134,Grocery,163.03,137.61,392,99
135,Product 0135,Electronics,342.63,317.59,140,56
136,Product 0136,Electronics,51.77,23.41,139,42
137,Product 0137,Apparel,210.52,177.00,70,19
138,Product 0138,Electronics,152.55,62.76,361,27
139,Product 0139,Home,43.09,33.99,169,69
140,Product 0140,Apparel,306.34,136.25,105,53
141,Product 0141,Sports,256.24,252.25,484,89
142,Product 0142,Home,13.80,11.80,244,0
143,Product 0143,Home,231.52,97.85,436,53
144,Product 0144,Home,353.72,144.54,112,34
145,Product 0145,Apparel,286.62,159.14,199,43
146,Product 0146,Electronics,439.35,264.98,430,59
147,Product 0147,Home,84.64,4.42,303,72
148,Product 0148,Apparel,435.50,17.77,329,54
149,Product 0149,Electronics,89.93,75.65,25,33
150,Product 0150,Electronics,249.44,107.27,232,41
151,Product 0151,Grocery,222.18,124.24,385,53
152,Product 0152,Home,166.32,26.84,9,95
153,Product 0153,Grocery,354.51,34.14,114,83
154,Product 0154,Apparel,45.96,3.30,486,31
155,Product 0155,Sports,131.65,3.34,78,30
156,Product 0156,Apparel,83.72,77.59,288,27
157,Product 0157,Grocery,305.76,229.21,392,47
158,Product 0158,Sports,110.96,99.27,493,95
159,Product 0159,Electronics,471.78,75.07,493,39
160,Product 0160,Apparel,71.84,47.41,475,39
161,Product 0161,Home,378.35,245.97,482,91
162,Product 0162,Sports,130.97,12.46,353,80
163,Product 0163,Grocery,160.15,16.70,435,87
164,Product 0164,Sports,394.48,79.34,400,5
165,Product 0165,Home,228.54,174.57,338,47
166,Product 0166,Grocery,46.19,41.45,6,53
167,Product 0167,Home,322.25,34.59,491,46
168,Product 0168,Electronics,417.53,301.30,222,22
169,Product 0169,Grocery,481.90,341.94,315,68
170,Product 0170,Home,317.86,152.33,422,93
171,Product 0171,Grocery,389.28,175.90,436,31
172,Product 0172,Home,57.79,22.85,124,96
173,Product 0173,Sports,305.55,186.73,342,48
174,Product 0174,Home,221.46,9.41,435,41
175,Product 0175,Electronics,120.17,79.89,181,33
176,Product 0176,Sports,224.04,91.64,359,35
177,Product 0177,Sports,365.24,6.66,485,24
178,Product 0178,Home,57.10,19.78,250,71
179,Product 0179,Home,497.87,157.50,330,91
180,Product 0180,Apparel,322.66,146.86,47,37
181,Product 0181,Electronics,146.22,66.26,156,84
182,Product 0182,Home,382.12,241.85,283,67
183,Product 0183,Sports,226.28,139.43,169,45
184,Product 0184,Grocery,461.62,297.37,156,32
185,Product 0185,Electronics,152.08,19.77,161,15
186,Product 0186,Electronics,487.85,351.19,98,27
187,Product 0187,Grocery,485.05,317.33,370,75
188,Product 0188,Sports,499.20,343.83,144,12
189,Product 0189,Electronics,128.21,48.54,184,22
190,Product 0190,Sports,199.09,4.64,64,35
191,Product 0191,Sports,30.82,2.24,149,89
192,Product 0192,Apparel,83.75,80.43,446,1
193,Product 0193,Home,377.21,186.35,245,56
194,Product 0194,Apparel,224.28,60.42,129,61
195,Product 0195,Apparel,75.76,67.35,205,62
196,Product 0196,Apparel,49.55,47.27,77,19
197,Product 0197,Apparel,369.86,199.13,127,15
198,Product 0198,Sports,366.73,272.75,305,79
199,Product 0199,Sports,148.90,127.09,194,57
200,Product 0200,Sports,291.14,97.44,219,39
201,Product 0201,Sports,373.65,39.48,491,94
202,Product 0202,Electronics,66.03,62.49,320,27
203,Product 0203,Electronics,174.43,26.61,122,22
204,Product 0204,Electronics,362.75,49.20,1,52
205,Product 0205,Sports,296.24,225.90,240,37
206,Product 0206,Grocery,22.39,9.49,361,36
207,Product 0207,Apparel,461.70,297.56,351,29
208,Product 0208,Home,174.37,64.83,58,69
209,Product 0209,Electronics,148.33,106.11,465,34
210,Product 0210,Apparel,94.21,11.70,84,39
211,Product 0211,Grocery,390.96,373.04,224,15
212,Product 0212,Grocery,308.16,225.67,358,51
213,Product 0213,Sports,179.41,164.00,252,56
214,Product 0214,Apparel,53.71,49.00,455,55
215,Product 0215,Sports,482.38,211.24,128,3
216,Product 0216,Sports,60.85,18.76,300,2
217,Product 0217,Sports,441.58,176.63,20,97
218,Product 0218,Home,496.62,114.82,265,83
219,Product 0219,Electronics,290.81,91.15,299,55
220,Product 0220,Apparel,417.01,322.26,240,44
221,Product 0221,Grocery,268.61,109.22,343,13
222,Product 0222,Home,106.39,54.04,355,63
223,Product 0223,Sports,189.88,131.23,18,58
224,Product 0224,Grocery,58.71,25.77,165,14
225,Product 0225,Apparel,265.88,168.63,336,69
226,Product 0226,Apparel,303.76,135.42,96,66
227,Product 0227,Home,238.09,204.03,320,56
228,Product 0228,Electronics,499.06,33.83,136,70
229,Product 0229,Home,86.86,47.20,450,89
230,Product 0230,Apparel,318.66,39.79,498,80
231,Product 0231,Electronics,400.03,156.83,159,70
232,Product 0232,Home,9.96,5.66,47,28
233,Product 0233,Apparel,75.35,37.81,331,19
234,Product 0234,Grocery,327.61,305.62,260,90
235,Product 0235,Home,180.19,136.15,241,31
236,Product 0236,Electronics,300.35,180.64,196,24
237,Product 0237,Electronics,393.80,333.09,442,8
238,Product 0238,Grocery,182.04,135.97,478,100
239,Product 0239,Apparel,333.75,175.10,144,92
240,Product 0240,Sports,196.66,192.33,337,62
241,Product 0241,Sports,98.38,73.17,247,44
242,Product 0242,Sports,218.86,180.86,193,58
243,Product 0243,Electronics,211.88,61.82,292,49
244,Product 0244,Home,154.06,140.25,22,40
245,Product 0245,Home,489.04,309.97,197,84
246,Product 0246,Home,428.30,99.69,493,4
247,Product 0247,Sports,83.73,82.30,169,12
248,Product 0248,Sports,289.55,32.68,466,58
249,Product 0249,Home,11.05,2.96,445,83
250,Product 0250,Home,102.16,12.26,400,33
251,Product 0251,Home,222.87,204.23,332,10
252,Product 0252,Home,216.32,174.86,488,40
253,Product 0253,Sports,411.77,319.79,18,79
254,Product 0254,Grocery,45.84,19.24,116,95
255,Product 0255,Apparel,60.23,35.56,389,81
256,Product 0256,Home,462.30,65.87,85,88
257,Product 0257,Apparel,197.25,9.49,166,7
258,Product 0258,Grocery,193.26,117.47,220,18
259,Product 0259,Home,161.03,87.03,289,87
260,Product 0260,Electronics,119.00,27.86,40,78
261,Product 0261,Electronics,251.70,203.07,254,74
262,Product 0262,Home,94.79,38.05,326,32
263,Product 0263,Apparel,302.18,83.67,460,59
264,Product 0264,Electronics,189.50,179.11,37,56
265,Product 0265,Grocery,227.46,192.54,327,54
266,Product 0266,Home,453.40,163.91,432,38
267,Product 0267,Home,131.55,63.03,54,30
268,Product 0268,Grocery,250.93,187.41,294,37
269,Product 0269,Apparel,459.27,193.49,500,84
270,Product 0270,Apparel,260.39,89.95,289,87
271,Product 0271,Sports,489.02,32.15,381,63
272,Product 0272,Sports,188.56,75.41,410,45
273,Product 0273,Electronics,144.52,104.31,317,32
274,Product 0274,Electronics,445.17,432.01,321,12
275,Product 0275,Grocery,412.21,25.84,403,56
276,Product 0276,Electronics,22.86,14.95,46,37
277,Product 0277,Electronics,215.11,136.16,102,16
278,Product 0278,Sports,354.50,239.77,256,34
279,Product 0279,Home,108.83,42.11,495,37
280,Product 0280,Apparel,490.26,221.99,239,9
281,Product 0281,Home,93.24,36.97,495,71
282,Product 0282,Home,240.71,29.60,7,33
283,Product 0283,Home,352.64,81.00,188,86
284,Product 0284,Grocery,491.87,440.63,299,48
285,Product 0285,Apparel,419.47,243.45,345,29
286,Product 0286,Sports,309.98,8.21,452,71
287,Product 0287,Electronics,215.96,199.92,331,8
288,Product 0288,Grocery,417.41,304.27,332,52
289,Product 0289,Apparel,77.46,11.46,484,4
290,Product 0290,Apparel,200.46,161.43,49,30
291,Product 0291,Home,353.28,88.91,232,47
292,Product 0292,Home,440.40,354.03,300,95
293,Product 0293,Home,477.18,101.27,335,12
294,Product 0294,Home,321.69,201.74,480,35
295,Product 0295,Electronics,22.44,15.18,227,56
296,Product 0296,Grocery,155.73,140.16,50,87
297,Product 0297,Grocery,241.73,178.42,31,50
298,Product 0298,Apparel,181.80,62.20,485,58
299,Product 0299,Electronics,61.07,54.30,328,81
300,Product 0300,Apparel,392.34,14.00,402,42
301,Product 0301,Sports,160.62,20.64,105,8
302,Product 0302,Sports,364.20,135.77,110,29
303,Product 0303,Sports,216.32,48.36,1,35
304,Product 0304,Sports,95.82,21.30,128,22
305,Product 0305,Apparel,73.04,54.16,67,1
306,Product 0306,Sports,235.77,77.97,165,2
307,Product 0307,Apparel,115.19,43.48,64,94
308,Product 0308,Apparel,276.88,172.39,381,8
309,Product 0309,Grocery,313.11,146.90,262,75
310,Product 0310,Sports,72.46,37.03,113,78
311,Product 0311,Sports,29.41,26.99,154,58
312,Product 0312,Apparel,422.61,20.42,245,51
313,Product 0313,Apparel,280.36,224.83,251,91
314,Product 0314,Apparel,291.69,24.09,164,77
315,Product 0315,Electronics,98.21,10.77,140,79
316,Product 0316,Sports,415.89,383.63,364,41
317,Product 0317,Sports,250.62,195.76,150,58
318,Product 0318,Apparel,332.31,281.94,406,89
319,Product 0319,Sports,75.98,69.87,369,27
320,Product 0320,Electronics,282.85,147.97,211,43
321,Product 0321,Home,298.20,130.66,373,12
322,Product 0322,Grocery,205.83,139.85,340,32
323,Product 0323,Home,246.30,50.02,34,11
324,Product 0324,Home,56.94,7.64,49,95
325,Product 0325,Electronics,485.17,244.22,284,7
326,Product 0326,Sports,385.34,368.05,168,85
327,Product 0327,Grocery,81.10,33.66,447,85
328,Product 0328,Apparel,492.70,277.18,495,36
329,Product 0329,Grocery,394.48,204.77,53,73
330,Product 0330,Electronics,333.53,139.43,336,61
331,Product 0331,Apparel,147.96,138.82,179,71
332,Product 0332,Grocery,241.88,37.65,293,28
333,Product 0333,Sports,282.22,276.95,498,98
334,Product 0334,Sports,408.45,402.12,13,77
335,Product 0335,Apparel,432.11,175.28,92,34
336,Product 0336,Grocery,461.52,202.50,179,0
337,Product 0337,Sports,119.88,23.48,336,51
338,Product 0338,Apparel,46.60,11.63,46,95
339,Product 0339,Home,348.65,140.99,214,58
340,Product 0340,Grocery,224.40,51.58,159,92
341,Product 0341,Sports,213.58,185.99,43,6
342,Product 0342,Sports,102.96,25.80,25,86
343,Product 0343,Home,54.46,22.30,338,54
344,Product 0344,Home,319.28,198.93,212,34
345,Product 0345,Sports,142.27,123.69,58,44
346,Product 0346,Grocery,282.74,36.34,347,86
347,Product 0347,Sports,389.71,318.92,341,39
348,Product 0348,Home,30.76,9.04,306,7
349,Product 0349,Grocery,6.03,2.10,484,27
350,Product 0350,Grocery,90.93,41.87,167,15
351,Product 0351,Home,6.06,5.10,89,16
352,Product 0352,Electronics,250.17,174.52,256,71
353,Product 0353,Apparel,438.81,232.11,203,94
354,Product 0354,Apparel,28.72,17.87,235,9
355,Product 0355,Home,206.16,188.67,293,51
356,Product 0356,Home,465.97,419.53,148,14
357,Product 0357,Grocery,266.44,6.84,87,79
358,Product 0358,Grocery,302.52,272.64,45,55
359,Product 0359,Home,70.37,19.94,301,51
360,Product 0360,Home,344.38,51.55,445,39
361,Product 0361,Electronics,489.77,222.51,170,99
362,Product 0362,Sports,111.18,12.52,324,14
363,Product 0363,Electronics,348.73,334.21,463,99
364,Product 0364,Electronics,229.96,115.05,120,13
365,Product 0365,Electronics,96.97,41.94,88,77
366,Product 0366,Electronics,101.18,12.35,487,98
367,Product 0367,Home,412.53,323.83,386,72
368,Product 0368,Home,498.99,379.77,348,72
369,Product 0369,Sports,422.39,416.35,165,80
370,Product 0370,Home,208.18,49.47,34,60
371,Product 0371,Grocery,290.80,206.90,407,35
372,Product 0372,Grocery,388.59,36.82,259,9
373,Product 0373,Home,204.42,151.31,19,7
374,Product 0374,Apparel,242.65,94.07,330,11
375,Product 0375,Sports,404.05,389.34,196,59
376,Product 0376,Apparel,381.32,363.28,230,73
377,Product 0377,Grocery,428.18,123.37,309,60
378,Product 0378,Apparel,329.57,98.87,230,13
379,Product 0379,Sports,226.07,27.64,330,22
380,Product 0380,Home,26.65,10.15,224,67
381,Product 0381,Grocery,343.58,104.04,190,36
382,Product 0382,Grocery,254.89,133.95,347,76
383,Product 0383,Grocery,35.31,32.33,33,42
384,Product 0384,Home,62.93,45.71,145,32
385,Product 0385,Sports,475.30,430.29,447,19
386,Product 0386,Sports,219.47,26.71,339,18
387,Product 0387,Home,230.25,101.66,66,76
388,Product 0388,Grocery,465.54,55.53,286,48
389,Product 0389,Electronics,422.71,215.28,343,89
390,Product 0390,Sports,485.16,449.20,47,82
391,Product 0391,Sports,440.39,277.49,185,2
392,Product 0392,Electronics,238.63,101.21,486,27
393,Product 0393,Electronics,224.95,159.35,115,17
394,Product 0394,Grocery,102.54,12.65,432,100
395,Product 0395,Sports,67.28,41.59,427,94
396,Product 0396,Grocery,346.06,24.74,448,98
397,Product 0397,Sports,406.03,85.89,192,19
398,Product 0398,Sports,107.33,29.63,414,21
399,Product 0399,Apparel,473.63,286.84,210,46
400,Product 0400,Home,444.26,155.67,312,36
401,Product 0401,Home,494.08,490.57,119,68
402,Product 0402,Home,157.74,50.71,462,24
403,Product 0403,Sports,242.06,222.27,225,59
404,Product 0404,Sports,185.66,125.14,270,53
405,Product 0405,Sports,107.20,32.72,70,32
406,Product 0406,Home,35.19,26.27,447,47
407,Product 0407,Sports,364.42,67.24,435,15
408,Product 0408,Electronics,187.81,27.49,139,57
409,Product 0409,Home,337.43,96.57,46,28
410,Product 0410,Grocery,296.65,289.88,476,3
411,Product 0411,Home,272.90,17.46,257,47
412,Product 0412,Apparel,155.51,63.27,191,28
413,Product 0413,Apparel,19.47,6.53,429,91
414,Product 0414,Electronics,426.95,219.74,70,4
415,Product 0415,Electronics,189.00,154.82,388,90
416,Product 0416,Sports,308.43,147.00,2,10
417,Product 0417,Electronics,13.45,5.25,427,19
418,Product 0418,Home,360.66,345.89,56,99
419,Product 0419,Grocery,189.81,77.87,62,6
420,Product 0420,Sports,157.26,68.79,234,8
421,Product 0421,Home,73.65,68.55,305,68
422,Product 0422,Sports,11.77,10.56,123,91
423,Product 0423,Home,95.09,47.73,0,78
424,Product 0424,Sports,232.22,78.83,213,23
425,Product 0425,Sports,436.40,56.11,499,46
426,Product 0426,Sports,45.35,43.10,259,100
427,Product 0427,Home,333.67,13.33,447,60
428,Product 0428,Home,29.53,26.04,191,32
429,Product 0429,Grocery,490.76,10.65,403,8
430,Product 0430,Apparel,226.96,79.02,395,74
431,Product 0431,Electronics,482.81,217.92,22,45
432,Product 0432,Electronics,358.83,221.88,425,99
433,Product 0433,Home,449.71,304.50,323,23
434,Product 0434,Home,89.37,10.34,18,37
435,Product 0435,Electronics,133.11,7.18,453,5
436,Product 0436,Sports,207.82,101.61,203,69
437,Product 0437,Apparel,311.24,83.01,385,82
438,Product 0438,Grocery,126.24,46.88,441,99
439,Product 0439,Grocery,32.32,26.86,139,15
440,Product 0440,Home,242.18,143.19,380,56
441,Product 0441,Electronics,254.39,111.10,254,88
442,Product 0442,Sports,327.05,120.38,136,10
443,Product 0443,Apparel,477.50,278.21,220,77
444,Product 0444,Grocery,119.26,89.38,164,13
445,Product 0445,Grocery,53.47,26.87,156,57
446,Product 0446,Electronics,395.93,279.26,353,56
447,Product 0447,Apparel,231.38,146.52,372,45
448,Product 0448,Grocery,403.94,285.05,327,7
449,Product 0449,Grocery,50.17,33.28,262,95
450,Product 0450,Apparel,446.25,104.85,73,77
451,Product 0451,Apparel,445.39,287.17,64,8
452,Product 0452,Grocery,155.66,127.56,185,49
453,Product 0453,Sports,372.74,21.23,78,86
454,Product 0454,Grocery,295.86,121.56,227,97
455,Product 0455,Electronics,51.38,47.02,271,46
456,Product 0456,Grocery,261.85,103.02,127,14
457,Product 0457,Electronics,17.98,15.07,255,66
458,Product 0458,Apparel,254.61,184.05,134,99
459,Product 0459,Electronics,171.58,146.24,313,36
460,Product 0460,Electronics,455.80,321.92,62,17
461,Product 0461,Electronics,49.53,37.04,460,91
462,Product 0462,Grocery,292.70,28.77,341,44
463,Product 0463,Sports,466.00,42.56,277,37
464,Product 0464,Electronics,197.57,51.62,406,46
465,Product 0465,Apparel,334.41,146.96,102,17
466,Product 0466,Home,156.14,129.50,13,46
467,Product 0467,Home,364.08,241.77,411,70
468,Product 0468,Apparel,86.04,14.13,158,50
469,Product 0469,Sports,470.84,313.70,210,98
470,Product 0470,Apparel,269.32,188.39,64,40
471,Product 0471,Home,421.96,48.61,238,87
472,Product 0472,Electronics,340.05,225.79,449,99
473,Product 0473,Electronics,362.30,119.26,221,64
474,Product 0474,Apparel,37.31,34.06,265,19
475,Product 0475,Electronics,200.31,53.96,165,90
476,Product 0476,Sports,148.76,56.70,458,36
477,Product 0477,Electronics,52.68,20.53,325,70
478,Product 0478,Grocery,180.86,41.02,314,68
479,Product 0479,Electronics,62.22,41.18,303,74
480,Product 0480,Sports,102.05,28.05,368,77
481,Product 0481,Apparel,222.26,184.69,422,3
482,Product 0482,Sports,54.23,3.73,135,83
483,Product 0483,Sports,139.15,125.66,213,79
484,Product 0484,Home,419.76,19.85,455,80
485,Product 0485,Grocery,358.54,189.84,247,31
486,Product 0486,Grocery,449.91,266.14,232,9
487,Product 0487,Electronics,452.28,39.27,225,53
488,Product 0488,Electronics,318.35,152.19,174,77
489,Product 0489,Grocery,95.15,51.22,375,44
490,Product 0490,Grocery,262.30,42.85,263,71
491,Product 0491,Electronics,70.58,26.15,238,15
492,Product 0492,Electronics,176.29,147.33,72,12
493,Product 0493,Home,34.16,11.89,442,78
494,Product 0494,Electronics,275.02,81.36,416,41
495,Product 0495,Electronics,379.59,204.95,390,20
496,Product 0496,Sports,327.54,326.36,239,63
497,Product 0497,Apparel,203.20,162.98,46,50
498,Product 0498,Electronics,332.24,299.66,110,74
499,Product 0499,Apparel,232.27,15.95,144,63
500,Product 0500,Grocery,392.58,308.41,274,1
